Day,StartTime,EndTime,Room,Midpoint
Wednesday ,2018-05-23 09:00:00,10:00:00,1,0
Wednesday ,2018-05-23 10:00:00,11:00:00,1,0
Wednesday,2018-05-23 11:00:00,12:00:00,1,0
Wednesday,2018-05-23 12:00:00,13:00:00,1,0
Wednesday,2018-05-23 13:00:00,14:00:00,1,0
Wednesday,2018-05-23 14:00:00,15:00:00,1,0
Wednesday,2018-05-23 15:00:00,16:00:00,1,0
Wednesday,2018-05-23 16:00:00,17:00:00,1,0
Wednesday,2018-05-23 17:00:00,18:00:00,1,0
Wednesday,2018-05-23 18:00:00,19:00:00,1,0
Wednesday,2018-05-23 19:00:00,20:00:00,1,0
Wednesday,2018-05-23 20:00:00,21:00:00,1,0
Wednesday,2018-05-23 21:00:00,22:00:00,1,0
Wednesday,2018-05-23 09:00:00,10:00:00,2,0
Wednesday,2018-05-23 10:00:00,11:00:00,2,0
Wednesday,2018-05-23 11:00:00,12:00:00,2,0
Wednesday,2018-05-23 12:00:00,13:00:00,2,0
Wednesday,2018-05-23 13:00:00,14:00:00,2,0
Wednesday,2018-05-23 14:00:00,15:00:00,2,0
Wednesday,2018-05-23 15:00:00,16:00:00,2,0
Wednesday,2018-05-23 16:00:00,17:00:00,2,0
Wednesday,2018-05-23 17:00:00,18:00:00,2,0
Wednesday,2018-05-23 18:00:00,19:00:00,2,0
Wednesday,2018-05-23 19:00:00,20:00:00,2,0
Wednesday,2018-05-23 20:00:00,21:00:00,2,0
Wednesday,2018-05-23 21:00:00,22:00:00,2,0
Wednesday,2018-05-23 09:00:00,10:00:00,3,0
Wednesday,2018-05-23 10:00:00,11:00:00,3,0
Wednesday,2018-05-23 11:00:00,12:00:00,3,0
Wednesday,2018-05-23 12:00:00,13:00:00,3,0
Wednesday,2018-05-23 13:00:00,14:00:00,3,0
Wednesday,2018-05-23 14:00:00,15:00:00,3,0
Wednesday,2018-05-23 15:00:00,16:00:00,3,0
Wednesday,2018-05-23 16:00:00,17:00:00,3,0
Wednesday,2018-05-23 17:00:00,18:00:00,3,0
Wednesday,2018-05-23 18:00:00,19:00:00,3,0
Wednesday,2018-05-23 19:00:00,20:00:00,3,0
Wednesday,2018-05-23 20:00:00,21:00:00,3,0
Wednesday,2018-05-23 21:00:00,22:00:00,3,0
Wednesday,2018-05-23 09:00:00,10:00:00,4,0
Wednesday,2018-05-23 10:00:00,11:00:00,4,0
Wednesday,2018-05-23 11:00:00,12:00:00,4,0
Wednesday,2018-05-23 12:00:00,13:00:00,4,0
Wednesday,2018-05-23 13:00:00,14:00:00,4,0
Wednesday,2018-05-23 14:00:00,15:00:00,4,0
Wednesday,2018-05-23 15:00:00,16:00:00,4,0
Wednesday,2018-05-23 16:00:00,17:00:00,4,0
Wednesday,2018-05-23 17:00:00,18:00:00,4,0
Wednesday,2018-05-23 18:00:00,19:00:00,4,0
Wednesday,2018-05-23 19:00:00,20:00:00,4,0
Wednesday,2018-05-23 20:00:00,21:00:00,4,0
Wednesday,2018-05-23 21:00:00,22:00:00,4,0
Wednesday,2018-05-23 09:00:00,10:00:00,5,0
Wednesday,2018-05-23 10:00:00,11:00:00,5,0
Wednesday,2018-05-23 11:00:00,12:00:00,5,0
Wednesday,2018-05-23 12:00:00,13:00:00,5,0
Wednesday,2018-05-23 13:00:00,14:00:00,5,0
Wednesday,2018-05-23 14:00:00,15:00:00,5,0
Wednesday,2018-05-23 15:00:00,16:00:00,5,0
Wednesday,2018-05-23 16:00:00,17:00:00,5,0
Wednesday,2018-05-23 17:00:00,18:00:00,5,0
Wednesday,2018-05-23 18:00:00,19:00:00,5,0
Wednesday,2018-05-23 19:00:00,20:00:00,5,0
Wednesday,2018-05-23 20:00:00,21:00:00,5,0
Wednesday,2018-05-23 21:00:00,22:00:00,5,0
Wednesday,2018-05-23 09:00:00,10:00:00,6,0
Wednesday,2018-05-23 10:00:00,11:00:00,6,0
Wednesday,2018-05-23 11:00:00,12:00:00,6,0
Wednesday,2018-05-23 12:00:00,13:00:00,6,0
Wednesday,2018-05-23 13:00:00,14:00:00,6,0
Wednesday,2018-05-23 14:00:00,15:00:00,6,0
Wednesday,2018-05-23 15:00:00,16:00:00,6,0
Wednesday,2018-05-23 16:00:00,17:00:00,6,0
Wednesday,2018-05-23 17:00:00,18:00:00,6,0
Wednesday,2018-05-23 18:00:00,19:00:00,6,0
Wednesday,2018-05-23 19:00:00,20:00:00,6,0
Wednesday,2018-05-23 20:00:00,21:00:00,6,0
Wednesday,2018-05-23 21:00:00,22:00:00,6,0
Wednesday,2018-05-23 09:00:00,10:00:00,7,0
Wednesday,2018-05-23 10:00:00,11:00:00,7,0
Wednesday,2018-05-23 11:00:00,12:00:00,7,0
Wednesday,2018-05-23 12:00:00,13:00:00,7,0
Wednesday,2018-05-23 13:00:00,14:00:00,7,0
Wednesday,2018-05-23 14:00:00,15:00:00,7,0
Wednesday,2018-05-23 15:00:00,16:00:00,7,0
Wednesday,2018-05-23 16:00:00,17:00:00,7,0
Wednesday,2018-05-23 17:00:00,18:00:00,7,0
Wednesday,2018-05-23 18:00:00,19:00:00,7,0
Wednesday,2018-05-23 19:00:00,20:00:00,7,0
Wednesday,2018-05-23 20:00:00,21:00:00,7,0
Wednesday,2018-05-23 21:00:00,22:00:00,7,0
Thursday,2018-05-24 09:00:00,10:00:00,8,0
Thursday,2018-05-24 10:00:00,11:00:00,8,0
Thursday,2018-05-24 11:00:00,12:00:00,8,0
Thursday,2018-05-24 12:00:00,13:00:00,8,0
Thursday,2018-05-24 13:00:00,14:00:00,8,0
Thursday,2018-05-24 14:00:00,15:00:00,8,0
Thursday,2018-05-24 15:00:00,16:00:00,8,0
Thursday,2018-05-24 16:00:00,17:00:00,8,0
Thursday,2018-05-24 17:00:00,18:00:00,8,0
Thursday,2018-05-24 18:00:00,19:00:00,8,0
Thursday,2018-05-24 19:00:00,20:00:00,8,0
Thursday,2018-05-24 20:00:00,21:00:00,8,0
Thursday,2018-05-24 21:00:00,22:00:00,8,0
Thursday,2018-05-24 09:00:00,10:00:00,8,0
Thursday,2018-05-24 10:00:00,11:00:00,8,0
Thursday,2018-05-24 11:00:00,12:00:00,8,0
Thursday,2018-05-24 12:00:00,13:00:00,8,0
Thursday,2018-05-24 13:00:00,14:00:00,8,0
Thursday,2018-05-24 14:00:00,15:00:00,8,0
Thursday,2018-05-24 15:00:00,16:00:00,8,0
Thursday,2018-05-24 16:00:00,17:00:00,8,0
Thursday,2018-05-24 17:00:00,18:00:00,8,0
Thursday,2018-05-24 18:00:00,19:00:00,8,0
Thursday,2018-05-24 19:00:00,20:00:00,8,0
Thursday,2018-05-24 20:00:00,21:00:00,8,0
Thursday,2018-05-24 21:00:00,22:00:00,8,0
Thursday,2018-05-24 09:00:00,10:00:00,9,0
Thursday,2018-05-24 10:00:00,11:00:00,9,0
Thursday,2018-05-24 11:00:00,12:00:00,9,0
Thursday,2018-05-24 12:00:00,13:00:00,9,0
Thursday,2018-05-24 13:00:00,14:00:00,9,0
Thursday,2018-05-24 14:00:00,15:00:00,10,0
Thursday,2018-05-24 15:00:00,16:00:00,10,0
Thursday,2018-05-24 16:00:00,17:00:00,10,0
Thursday,2018-05-24 17:00:00,18:00:00,10,0
Thursday,2018-05-24 18:00:00,19:00:00,10,0
Thursday,2018-05-24 19:00:00,20:00:00,10,0
Thursday,2018-05-24 20:00:00,21:00:00,10,0
Thursday,2018-05-24 21:00:00,22:00:00,10,0
Friday,2018-05-25 09:00:00,10:00:00,1,0
Friday,2018-05-25 10:00:00,11:00:00,1,0
Friday,2018-05-25 11:00:00,12:00:00,1,0
Friday,2018-05-25 12:00:00,13:00:00,1,0
Friday,2018-05-25 13:00:00,14:00:00,1,0
Friday,2018-05-25 14:00:00,15:00:00,1,0
Friday,2018-05-25 15:00:00,16:00:00,1,0
Friday,2018-05-25 16:00:00,17:00:00,2,0
Friday,2018-05-25 17:00:00,18:00:00,2,0
Friday,2018-05-25 18:00:00,19:00:00,2,0
Friday,2018-05-25 19:00:00,20:00:00,2,0
Friday,2018-05-25 20:00:00,21:00:00,3,0
Friday,2018-05-25 21:00:00,22:00:00,3,0
Friday,2018-05-25 09:00:00,10:00:00,3,0
Friday,2018-05-25 10:00:00,11:00:00,3,0
Friday,2018-05-25 11:00:00,12:00:00,3,0
Friday,2018-05-25 12:00:00,13:00:00,4,0
Friday,2018-05-25 13:00:00,14:00:00,4,0
Friday,2018-05-25 14:00:00,15:00:00,4,0
Friday,2018-05-25 15:00:00,16:00:00,4,0
Friday,2018-05-25 16:00:00,17:00:00,5,0
Friday,2018-05-25 17:00:00,18:00:00,5,0
Friday,2018-05-25 18:00:00,19:00:00,5,0
Friday,2018-05-25 19:00:00,20:00:00,5,0
Friday,2018-05-25 20:00:00,21:00:00,6,0
Friday,2018-05-25 21:00:00,22:00:00,6,0
Friday,2018-05-25 09:00:00,10:00:00,6,0
Friday,2018-05-25 10:00:00,11:00:00,6,0
